date,best_lag,beta,pval,r2,risk_score
2023-03-01,11,68017.31015292455,1.4654102490409002e-10,0.3539556006143556,68017.31015292455
2023-04-01,10,-80486.5130559497,2.1027264856721114e-06,0.490542183428861,0.0
2023-05-01,10,-78201.32226285017,2.2213578387452892e-06,0.48976798396463905,0.0
2023-06-01,10,-77959.90995251902,2.4032265918134974e-06,0.48781881567973273,0.0
2023-07-01,10,-78239.42351661195,1.509009731388643e-06,0.4996944279388015,0.0
2023-08-01,11,81128.45405654945,4.310981227608769e-16,0.5518750230929739,81128.45405654945
2023-09-01,11,60551.579222014865,1.4691910237829714e-13,0.47146691765217785,60551.579222014865
2023-10-01,7,103007.39965647855,0.039953170105766024,0.1999792699497962,103007.39965647855
2023-11-01,0,-103419.50357323329,0.011832698967597968,0.21430718251063674,0.0
2023-12-01,9,-83939.264597998,2.4719768717057335e-11,0.25943595298459343,0.0
2024-01-01,9,-66351.96104911673,0.0003187198748092424,0.20081666587592906,0.0
2024-02-01,11,92283.31981393996,0.00012327734594038827,0.22132853116702755,92283.31981393996
2024-03-01,7,-76221.02156836237,0.09586288141938998,0.18106325321760763,0.0
2024-04-01,7,-78383.59772810912,0.05183314630141309,0.2076681658367665,0.0
2024-05-01,7,-87796.88293344456,5.326123709263254e-05,0.4178345892043004,0.0
2024-06-01,7,-98826.45735908665,1.3179266205970117e-08,0.42980566309373314,0.0
2024-07-01,7,-86677.9262111091,0.00041616865355962603,0.33021570161904334,0.0
